Personne	Date	Taille échantillon	Période début	Période fin	Très favorable	Plutôt favorable	Total favorable	Plutôt défavorable	Très défavorable	Total défavorable	NSP
Emmanuel MACRON	22/07/20	1000	17/07/20	17/07/20	6	33.1	39.1	26.9	28.8	55.8	5.1
Jean CASTEX	22/07/20	1000	17/07/20	17/07/20	4.8	27.9	32.7	15.8	11.5	27.3	39.9
Edouard PHILIPPE	22/07/20	1000	17/07/20	17/07/20	16	39.9	55.9	19.9	15.1	35	9.1
Roselyne BACHELOT	22/07/20	1000	17/07/20	17/07/20	8.8	37.8	46.6	20.4	16.8	37.2	16.2
Nicolas HULOT	22/07/20	1000	17/07/20	17/07/20	9.8	36.5	46.3	21.3	19.4	40.7	13
Bruno LE MAIRE	22/07/20	1000	17/07/20	17/07/20	6	35.2	41.2	19.2	16.1	35.3	23.6
Olivier VERAN	22/07/20	1000	17/07/20	17/07/20	6.3	34	40.4	18.6	15	33.5	26.1
Nicolas SARKOZY	22/07/20	1000	17/07/20	17/07/20	7.6	32	39.6	27	25.4	52.4	7.9
Jack LANG	22/07/20	1000	17/07/20	17/07/20	7.2	32.2	39.4	20.9	19.7	40.6	20
Jean-Yves LE DRIAN	22/07/20	1000	17/07/20	17/07/20	5.1	28.9	34	20.3	13.7	34	32
Xavier BERTRAND	22/07/20	1000	17/07/20	17/07/20	5	29.4	34.4	22.1	13.8	35.9	29.6
Anne HIDALGO	22/07/20	1000	17/07/20	17/07/20	3.4	28.4	31.8	21.5	26.5	48	20.2
Jean-Michel BLANQUER	22/07/20	1000	17/07/20	17/07/20	4.3	27.1	31.3	24.9	17.2	42.1	26.5
Martine AUBRY	22/07/20	1000	17/07/20	17/07/20	3.5	28.1	31.6	25.4	24.3	49.7	18.7
François BAROIN	22/07/20	1000	17/07/20	17/07/20	6.4	22.8	29.2	24.8	14.4	39.1	31.7
Eric DUPOND-MORETTI	22/07/20	1000	17/07/20	17/07/20	4.5	23	27.5	20.4	23.2	43.5	28.9
Valérie PECRESSE	22/07/20	1000	17/07/20	17/07/20	2.6	25.2	27.8	26.5	18.5	45	27.2
François BAYROU	22/07/20	1000	17/07/20	17/07/20	2.6	25.2	27.8	32.7	21.3	54.1	18.2
Marine LE PEN	22/07/20	1000	17/07/20	17/07/20	10.2	18.4	28.6	15.8	46.9	62.7	8.7
Bernard CAZENEUVE	22/07/20	1000	17/07/20	17/07/20	3.6	23.4	27.1	26.7	18.5	45.2	27.7
Marion MARECHAL	22/07/20	1000	17/07/20	17/07/20	8.8	18	26.8	16.6	43.1	59.7	13.5
